Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks
SAIF,26.4,"2019, 2018, 2017, 2014, 2013, 2012, 2011, 2007, 2006, 2005","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2019: 3.79% | 2018: 2.84% | 2017: 3.79% | 2014: 9.47% | 2013: 9.47% | 2012: 7.58% | 2011: 7.58% | 2007: 15.02% | 2006: 2.84% | 2005: 17.05%,2019: Rs.1.00 | 2018: Rs.0.75 | 2017: Rs.1.00 | 2014: Rs.2.50 | 2013: Rs.2.50 | 2012: Rs.2.00 | 2011: Rs.2.00 | 2007: Rs.3.96 | 2006: Rs.0.75 | 2005: Rs.4.50,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
SANSM,43.7,"2016, 2015, 2010, 2009, 2006, 2004","1, 1, 1, 2, 2, 1",Yes,2016: 1.37% | 2015: 4.58% | 2010: 3.43% | 2009: 4.58% | 2006: 2.29% | 2004: 0.00%,2016: Rs.0.60 | 2015: Rs.2.00 | 2010: Rs.1.50 | 2009: Rs.2.00 | 2006: Rs.1.00 | 2004: Rs.0.00,100.0%,High consistency (100.0%): 6 years with dividends
SAPT,1315.96,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015","2, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 2.70% | 2023: 0.76% | 2022: 0.76% | 2021: 1.14% | 2019: 1.98% | 2018: 1.22% | 2017: 1.06% | 2016: 1.06% | 2015: 0.76%,2024: Rs.35.50 | 2023: Rs.10.00 | 2022: Rs.10.00 | 2021: Rs.15.00 | 2019: Rs.26.00 | 2018: Rs.16.00 | 2017: Rs.14.00 | 2016: Rs.14.00 | 2015: Rs.10.00,100.0%,Minor gap detected but overall consistent: 9 years with dividends
SARC,80.95,"2024, 2021, 2018, 2016, 2012, 2007, 2005, 2004","1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 2.47% | 2021: 1.24% | 2018: 0.93% | 2016: 0.62% | 2012: 0.62% | 2007: 0.62% | 2005: 0.00% | 2004: 0.00%,2024: Rs.2.00 | 2021: Rs.1.00 | 2018: Rs.0.75 | 2016: Rs.0.50 | 2012: Rs.0.50 | 2007: Rs.0.50 | 2005: Rs.0.00 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 8 years with dividends, Pattern: 1 dividends per year"
SASML,177.05,"2023, 2019, 2018, 2010, 2006, 2005, 2004","1, 1, 1, 2, 1, 1, 1",Yes,2023: 1.13% | 2019: 0.56% | 2018: 0.90% | 2010: 1.13% | 2006: 0.56% | 2005: 0.00% | 2004: 0.00%,2023: Rs.2.00 | 2019: Rs.1.00 | 2018: Rs.1.60 | 2010: Rs.2.00 | 2006: Rs.1.00 | 2005: Rs.0.00 | 2004: Rs.0.00,100.0%,High consistency (100.0%): 7 years with dividends
SAZEW,1351.68,"2025, 2024, 2023, 2021, 2020, 2019, 2017","1, 4, 1, 1, 1, 1, 1",Yes,2025: 0.89% | 2024: 2.96% | 2023: 0.30% | 2021: 0.22% | 2020: 0.22% | 2019: 0.49% | 2017: 0.15%,2025: Rs.12.00 | 2024: Rs.40.00 | 2023: Rs.4.00 | 2021: Rs.3.00 | 2020: Rs.3.00 | 2019: Rs.6.58 | 2017: Rs.2.00,100.0%,High consistency (100.0%): 6 years with dividends
SBL,9.4,"2021, 2020, 2013, 2010, 2009, 2005","1, 1, 1, 2, 1, 2",Yes,2021: 6.38% | 2020: 7.98% | 2013: 26.32% | 2010: 135.02% | 2009: 67.51% | 2005: 26.60%,2021: Rs.0.60 | 2020: Rs.0.75 | 2013: Rs.2.47 | 2010: Rs.12.69 | 2009: Rs.6.35 | 2005: Rs.2.50,100.0%,High consistency (100.0%): 6 years with dividends
SCBPL,67.4,"2024, 2023, 2022, 2021","3, 3, 2, 2",Yes,2024: 12.98% | 2023: 13.35% | 2022: 5.93% | 2021: 4.45%,2024: Rs.8.75 | 2023: Rs.9.00 | 2022: Rs.4.00 | 2021: Rs.3.00,100.0%,Perfect consistency: 4 consecutive years
SCL,306.11,"2021, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2021: 0.65% | 2019: 0.41% | 2018: 1.14% | 2017: 1.63% | 2016: 1.63% | 2015: 1.63% | 2014: 0.49% | 2013: 0.49% | 2012: 0.49% | 2011: 0.33%,2021: Rs.2.00 | 2019: Rs.1.25 | 2018: Rs.3.50 | 2017: Rs.5.00 | 2016: Rs.5.00 | 2015: Rs.5.00 | 2014: Rs.1.50 | 2013: Rs.1.50 | 2012: Rs.1.50 | 2011: Rs.1.00,100.0%,"Minor gap detected but overall consistent: 10 years with dividends, Pattern: 1 dividends per year"
SEARL,96.94,"2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016","2, 1, 1, 2, 1, 1, 1, 1",Yes,2023: 0.00% | 2022: 2.58% | 2021: 2.06% | 2020: 3.92% | 2019: 2.58% | 2018: 5.16% | 2017: 8.25% | 2016: 2.06%,2023: Rs.0.00 | 2022: Rs.2.50 | 2021: Rs.2.00 | 2020: Rs.3.80 | 2019: Rs.2.50 | 2018: Rs.5.00 | 2017: Rs.8.00 | 2016: Rs.2.00,100.0%,Perfect consistency: 8 consecutive years
SEL,11.66,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2005","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2016: 17.15% | 2015: 10.72% | 2014: 17.15% | 2013: 8.58% | 2012: 8.58% | 2011: 8.58% | 2010: 17.15% | 2009: 17.15% | 2008: 21.44% | 2005: 0.00%,2016: Rs.2.00 | 2015: Rs.1.25 | 2014: Rs.2.00 | 2013: Rs.1.00 | 2012: Rs.1.00 | 2011: Rs.1.00 | 2010: Rs.2.00 | 2009: Rs.2.00 | 2008: Rs.2.50 | 2005: Rs.0.00,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
SEPL,175.04,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018","1, 1, 2, 1, 1, 1, 1, 2",Yes,2025: 5.14% | 2024: 5.71% | 2023: 7.71% | 2022: 5.71% | 2021: 5.14% | 2020: 5.14% | 2019: 0.00% | 2018: 5.14%,2025: Rs.9.00 | 2024: Rs.10.00 | 2023: Rs.13.50 | 2022: Rs.10.00 | 2021: Rs.9.00 | 2020: Rs.9.00 | 2019: Rs.0.00 | 2018: Rs.9.00,100.0%,Perfect consistency: 7 consecutive years
SERT,21.8,"2021, 2019","1, 1",Yes,2021: 4.59% | 2019: 4.59%,2021: Rs.1.00 | 2019: Rs.1.00,100.0%,"Minor gap detected but overall consistent: 2 years with dividends, Pattern: 1 dividends per year"
SFL,1108.49,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 2, 1, 1",Yes,2024: 0.90% | 2023: 0.90% | 2022: 0.90% | 2021: 0.90% | 2019: 0.72% | 2018: 1.08% | 2017: 0.59% | 2016: 1.26% | 2015: 0.90%,2024: Rs.10.00 | 2023: Rs.10.00 | 2022: Rs.10.00 | 2021: Rs.10.00 | 2019: Rs.8.00 | 2018: Rs.12.00 | 2017: Rs.6.50 | 2016: Rs.14.00 | 2015: Rs.10.00,100.0%,Minor gap detected but overall consistent: 9 years with dividends
SGF,73.88,"2024, 2023, 2022, 2021","1, 2, 2, 1",Yes,2024: 5.41% | 2023: 6.77% | 2022: 4.74% | 2021: 2.71%,2024: Rs.4.00 | 2023: Rs.5.00 | 2022: Rs.3.50 | 2021: Rs.2.00,100.0%,Perfect consistency: 4 consecutive years
SHDT,57.37,"2024, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 1.31% | 2022: 0.87% | 2021: 1.74% | 2020: 0.87% | 2019: 9.06% | 2018: 2.88% | 2017: 4.42% | 2016: 7.62% | 2015: 5.93% | 2014: 1.74%,2024: Rs.0.75 | 2022: Rs.0.50 | 2021: Rs.1.00 | 2020: Rs.0.50 | 2019: Rs.5.20 | 2018: Rs.1.65 | 2017: Rs.2.54 | 2016: Rs.4.37 | 2015: Rs.3.40 | 2014: Rs.1.00,100.0%,"Minor gap detected but overall consistent: 10 years with dividends, Pattern: 1 dividends per year"
SHEZ,215.18,"2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015, 2014, 2013","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2023: 0.93% | 2022: 2.32% | 2021: 2.56% | 2019: 2.56% | 2018: 6.97% | 2017: 6.27% | 2016: 4.18% | 2015: 5.11% | 2014: 4.65% | 2013: 4.65%,2023: Rs.2.00 | 2022: Rs.5.00 | 2021: Rs.5.50 | 2019: Rs.5.50 | 2018: Rs.15.00 | 2017: Rs.13.50 | 2016: Rs.9.00 | 2015: Rs.11.00 | 2014: Rs.10.00 | 2013: Rs.10.00,100.0%,"Minor gap detected but overall consistent: 10 years with dividends, Pattern: 1 dividends per year"
SHFA,552.16,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016","2, 1, 2, 1, 1, 1, 1, 1",Yes,2024: 0.72% | 2023: 0.27% | 2022: 0.54% | 2021: 0.04% | 2019: 0.46% | 2018: 0.81% | 2017: 0.91% | 2016: 0.54%,2024: Rs.4.00 | 2023: Rs.1.50 | 2022: Rs.3.00 | 2021: Rs.0.20 | 2019: Rs.2.55 | 2018: Rs.4.50 | 2017: Rs.5.00 | 2016: Rs.3.00,100.0%,Minor gap detected but overall consistent: 8 years with dividends
SHJS,134.3,"2023, 2021, 2017, 2016, 2014, 2012, 2011, 2009, 2008","1, 1, 1, 1, 1, 1, 1, 2, 1",Yes,2023: 10.42% | 2021: 3.72% | 2017: 3.72% | 2016: 3.72% | 2014: 1.49% | 2012: 5.21% | 2011: 9.31% | 2009: 7.45% | 2008: 3.72%,2023: Rs.14.00 | 2021: Rs.5.00 | 2017: Rs.5.00 | 2016: Rs.5.00 | 2014: Rs.2.00 | 2012: Rs.7.00 | 2011: Rs.12.50 | 2009: Rs.10.00 | 2008: Rs.5.00,100.0%,High consistency (100.0%): 9 years with dividends
SHNI,10.08,"2024, 2023, 2018, 2013, 2011, 2009, 2007, 2006, 2005","1, 1, 1, 1, 2, 1, 1, 1, 1",Yes,2024: 24.80% | 2023: 2.48% | 2018: 2.48% | 2013: 49.60% | 2011: 44.64% | 2009: 14.17% | 2007: 74.40% | 2006: 24.80% | 2005: 0.00%,2024: Rs.2.50 | 2023: Rs.0.25 | 2018: Rs.0.25 | 2013: Rs.5.00 | 2011: Rs.4.50 | 2009: Rs.1.43 | 2007: Rs.7.50 | 2006: Rs.2.50 | 2005: Rs.0.00,100.0%,High consistency (100.0%): 9 years with dividends
SHSML,424.5,"2025, 2023, 2022, 2021, 2020, 2019, 2018","1, 3, 2, 1, 1, 1, 1",Yes,2025: 1.65% | 2023: 11.78% | 2022: 4.71% | 2021: 0.71% | 2020: 2.83% | 2019: 4.00% | 2018: 1.65%,2025: Rs.7.00 | 2023: Rs.50.00 | 2022: Rs.20.00 | 2021: Rs.3.00 | 2020: Rs.12.00 | 2019: Rs.17.00 | 2018: Rs.7.00,100.0%,Perfect consistency: 6 consecutive years
SIBL,10.75,"2024, 2023, 2008, 2007, 2006, 2005","1, 1, 1, 1, 1, 1",Yes,2024: 13.95% | 2023: 4.65% | 2008: 18.60% | 2007: 18.60% | 2006: 9.30% | 2005: 0.00%,2024: Rs.1.50 | 2023: Rs.0.50 | 2008: Rs.2.00 | 2007: Rs.2.00 | 2006: Rs.1.00 | 2005: Rs.0.00,100.0%,"High consistency (100.0%): 6 years with dividends, Pattern: 1 dividends per year"
SIEM,1541.71,"2022, 2021, 2020, 2018, 2017, 2016, 2015, 2014, 2013","1, 1, 1, 2, 1, 1, 1, 1, 1",Yes,2022: 2.98% | 2021: 2.98% | 2020: 0.65% | 2018: 7.85% | 2017: 4.86% | 2016: 7.78% | 2015: 0.06% | 2014: 0.65% | 2013: 1.30%,2022: Rs.46.00 | 2021: Rs.46.00 | 2020: Rs.10.00 | 2018: Rs.121.00 | 2017: Rs.75.00 | 2016: Rs.120.00 | 2015: Rs.1.00 | 2014: Rs.10.00 | 2013: Rs.20.00,100.0%,Minor gap detected but overall consistent: 9 years with dividends
SINDM,13.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2015, 2012","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 9.62% | 2023: 9.62% | 2022: 9.23% | 2021: 7.69% | 2020: 10.38% | 2019: 10.38% | 2018: 5.77% | 2017: 3.46% | 2015: 1.23% | 2012: 2.69%,2024: Rs.1.25 | 2023: Rs.1.25 | 2022: Rs.1.20 | 2021: Rs.1.00 | 2020: Rs.1.35 | 2019: Rs.1.35 | 2018: Rs.0.75 | 2017: Rs.0.45 | 2015: Rs.0.16 | 2012: Rs.0.35,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
SITC,622.94,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 1.61% | 2023: 1.61% | 2022: 1.28% | 2021: 1.61% | 2020: 1.61% | 2019: 1.61% | 2018: 2.09% | 2017: 2.01% | 2016: 1.85% | 2015: 1.44%,2024: Rs.10.00 | 2023: Rs.10.00 | 2022: Rs.8.00 | 2021: Rs.10.00 | 2020: Rs.10.00 | 2019: Rs.10.00 | 2018: Rs.13.00 | 2017: Rs.12.50 | 2016: Rs.11.50 | 2015: Rs.9.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
SMCPL,25.43,"2024, 2014","1, 2",Yes,2024: 7.86% | 2014: 19.66%,2024: Rs.2.00 | 2014: Rs.5.00,100.0%,High consistency (100.0%): 2 years with dividends
SNAI,28.0,"2023, 2022, 2021, 2020, 2019, 2018, 2016, 2015","1, 1, 2, 2, 1, 1, 1, 1",Yes,2023: 23.21% | 2022: 3.57% | 2021: 10.71% | 2020: 13.57% | 2019: 8.93% | 2018: 7.14% | 2016: 12.50% | 2015: 28.57%,2023: Rs.6.50 | 2022: Rs.1.00 | 2021: Rs.3.00 | 2020: Rs.3.80 | 2019: Rs.2.50 | 2018: Rs.2.00 | 2016: Rs.3.50 | 2015: Rs.8.00,100.0%,Minor gap detected but overall consistent: 8 years with dividends
SNBL,23.63,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016","2, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 12.70% | 2023: 12.70% | 2022: 4.23% | 2021: 6.35% | 2020: 5.29% | 2019: 4.23% | 2018: 4.23% | 2017: 3.17% | 2016: 5.29%,2024: Rs.3.00 | 2023: Rs.3.00 | 2022: Rs.1.00 | 2021: Rs.1.50 | 2020: Rs.1.25 | 2019: Rs.1.00 | 2018: Rs.1.00 | 2017: Rs.0.75 | 2016: Rs.1.25,100.0%,Perfect consistency: 9 consecutive years
SNGP,120.66,"2024, 2023, 2022, 2021, 2020, 2019, 2018","1, 1, 1, 3, 1, 1, 2",Yes,2024: 6.22% | 2023: 3.73% | 2022: 1.24% | 2021: 7.87% | 2020: 3.32% | 2019: 1.66% | 2018: 5.84%,2024: Rs.7.50 | 2023: Rs.4.50 | 2022: Rs.1.50 | 2021: Rs.9.50 | 2020: Rs.4.00 | 2019: Rs.2.00 | 2018: Rs.7.05,100.0%,Perfect consistency: 7 consecutive years
SPEL,48.99,"2025, 2024, 2023, 2022, 2021, 2020, 2019","1, 2, 2, 1, 2, 1, 1",Yes,2025: 1.22% | 2024: 4.49% | 2023: 3.06% | 2022: 1.02% | 2021: 2.04% | 2020: 2.04% | 2019: 1.22%,2025: Rs.0.60 | 2024: Rs.2.20 | 2023: Rs.1.50 | 2022: Rs.0.50 | 2021: Rs.1.00 | 2020: Rs.1.00 | 2019: Rs.0.60,100.0%,Perfect consistency: 6 consecutive years
SPWL,11.67,"2024, 2023, 2022, 2021","1, 3, 4, 2",Yes,2024: 10.71% | 2023: 36.76% | 2022: 115.68% | 2021: 25.71%,2024: Rs.1.25 | 2023: Rs.4.29 | 2022: Rs.13.50 | 2021: Rs.3.00,100.0%,Perfect consistency: 4 consecutive years
SRVI,1153.3,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017","1, 1, 1, 1, 1, 3, 1, 1",Yes,2024: 1.30% | 2023: 0.87% | 2022: 0.43% | 2021: 0.65% | 2020: 1.30% | 2019: 1.95% | 2018: 2.60% | 2017: 1.91%,2024: Rs.15.00 | 2023: Rs.10.00 | 2022: Rs.5.00 | 2021: Rs.7.50 | 2020: Rs.15.00 | 2019: Rs.22.50 | 2018: Rs.30.00 | 2017: Rs.22.00,100.0%,Perfect consistency: 8 consecutive years
SSGC,43.16,"2012, 2010, 2008, 2007, 2006, 2005, 2004","1, 1, 1, 1, 1, 1, 1",Yes,2012: 5.21% | 2010: 3.48% | 2008: 2.90% | 2007: 1.16% | 2006: 3.01% | 2005: 3.48% | 2004: 3.48%,2012: Rs.2.25 | 2010: Rs.1.50 | 2008: Rs.1.25 | 2007: Rs.0.50 | 2006: Rs.1.30 | 2005: Rs.1.50 | 2004: Rs.1.50,100.0%,"High consistency (100.0%): 7 years with dividends, Pattern: 1 dividends per year"
SSOM,779.16,"2022, 2021, 2019, 2018, 2017, 2016, 2004","1, 1, 1, 1, 1, 1, 1",Yes,2022: 0.64% | 2021: 0.39% | 2019: 0.13% | 2018: 0.13% | 2017: 0.19% | 2016: 0.13% | 2004: 0.00%,2022: Rs.5.00 | 2021: Rs.3.00 | 2019: Rs.1.00 | 2018: Rs.1.00 | 2017: Rs.1.50 | 2016: Rs.1.00 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 7 years with dividends, Pattern: 1 dividends per year"
STCL,17.47,"2024, 2022, 2021, 2019, 2018, 2015, 2013, 2011, 2008","1, 1, 1, 1, 1, 2, 1, 1, 1",Yes,2024: 8.59% | 2022: 8.59% | 2021: 14.31% | 2019: 2.86% | 2018: 5.72% | 2015: 66.40% | 2013: 5.72% | 2011: 57.24% | 2008: 11.45%,2024: Rs.1.50 | 2022: Rs.1.50 | 2021: Rs.2.50 | 2019: Rs.0.50 | 2018: Rs.1.00 | 2015: Rs.11.60 | 2013: Rs.1.00 | 2011: Rs.10.00 | 2008: Rs.2.00,100.0%,High consistency (100.0%): 9 years with dividends
STJT,79.3,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 1.26% | 2023: 8.20% | 2022: 16.39% | 2021: 14.50% | 2020: 5.04% | 2019: 12.61% | 2018: 3.47% | 2017: 6.31% | 2016: 5.67% | 2015: 3.15%,2024: Rs.1.00 | 2023: Rs.6.50 | 2022: Rs.13.00 | 2021: Rs.11.50 | 2020: Rs.4.00 | 2019: Rs.10.00 | 2018: Rs.2.75 | 2017: Rs.5.00 | 2016: Rs.4.50 | 2015: Rs.2.50,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
STML,39.61,"2021, 2019, 2018, 2013, 2012, 2010, 2007, 2006, 2005, 2004","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2021: 5.05% | 2019: 2.65% | 2018: 5.93% | 2013: 7.57% | 2012: 3.16% | 2010: 5.05% | 2007: 6.31% | 2006: 4.42% | 2005: 4.42% | 2004: 4.42%,2021: Rs.2.00 | 2019: Rs.1.05 | 2018: Rs.2.35 | 2013: Rs.3.00 | 2012: Rs.1.25 | 2010: Rs.2.00 | 2007: Rs.2.50 | 2006: Rs.1.75 | 2005: Rs.1.75 | 2004: Rs.1.75,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
STPL,7.71,"2018, 2016, 2011, 2010, 2009, 2008, 2007, 2006","1, 1, 1, 1, 1, 1, 1, 1",Yes,2018: 249.03% | 2016: 6.49% | 2011: 9.73% | 2010: 9.73% | 2009: 12.97% | 2008: 19.46% | 2007: 19.46% | 2006: 12.97%,2018: Rs.19.20 | 2016: Rs.0.50 | 2011: Rs.0.75 | 2010: Rs.0.75 | 2009: Rs.1.00 | 2008: Rs.1.50 | 2007: Rs.1.50 | 2006: Rs.1.00,100.0%,"High consistency (100.0%): 8 years with dividends, Pattern: 1 dividends per year"
STYLERS,50.68,"2025, 2024, 2023","1, 2, 1",Yes,2025: 0.49% | 2024: 3.91% | 2023: 1.97%,2025: Rs.0.25 | 2024: Rs.1.98 | 2023: Rs.1.00,100.0%,Perfect consistency: 2 consecutive years
SURC,132.28,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 3.78% | 2023: 0.76% | 2022: 3.02% | 2021: 7.56% | 2020: 3.02% | 2019: 3.78% | 2018: 3.02% | 2017: 2.27% | 2016: 3.02% | 2015: 3.78%,2024: Rs.5.00 | 2023: Rs.1.00 | 2022: Rs.4.00 | 2021: Rs.10.00 | 2020: Rs.4.00 | 2019: Rs.5.00 | 2018: Rs.4.00 | 2017: Rs.3.00 | 2016: Rs.4.00 | 2015: Rs.5.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
SUTM,186.37,"2023, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 3, 2, 1, 1, 1",Yes,2023: 1.07% | 2021: 2.68% | 2020: 29.51% | 2019: 13.41% | 2018: 4.83% | 2017: 2.15% | 2016: 2.68%,2023: Rs.2.00 | 2021: Rs.5.00 | 2020: Rs.55.00 | 2019: Rs.25.00 | 2018: Rs.9.00 | 2017: Rs.4.00 | 2016: Rs.5.00,100.0%,Minor gap detected but overall consistent: 7 years with dividends
SYM,14.27,"2024, 2023","1, 1",Yes,2024: 7.01% | 2023: 3.50%,2024: Rs.1.00 | 2023: Rs.0.50,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 1 dividends per year"
SYS,136.62,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 4.39% | 2023: 4.39% | 2022: 3.66% | 2021: 3.66% | 2020: 2.56% | 2019: 1.65% | 2018: 1.46% | 2017: 1.28% | 2016: 1.36% | 2015: 0.91%,2024: Rs.6.00 | 2023: Rs.6.00 | 2022: Rs.5.00 | 2021: Rs.5.00 | 2020: Rs.3.50 | 2019: Rs.2.25 | 2018: Rs.2.00 | 2017: Rs.1.75 | 2016: Rs.1.86 | 2015: Rs.1.25,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
SZTM,53.0,"2019, 2018, 2017, 2015, 2014, 2013, 2012, 2011, 2010","1, 1, 1, 1, 1, 2, 1, 1, 1",Yes,2019: 2.83% | 2018: 1.89% | 2017: 1.89% | 2015: 1.89% | 2014: 2.83% | 2013: 5.66% | 2012: 1.89% | 2011: 0.94% | 2010: 0.94%,2019: Rs.1.50 | 2018: Rs.1.00 | 2017: Rs.1.00 | 2015: Rs.1.00 | 2014: Rs.1.50 | 2013: Rs.3.00 | 2012: Rs.1.00 | 2011: Rs.0.50 | 2010: Rs.0.50,100.0%,Minor gap detected but overall consistent: 9 years with dividends
TATM,214.95,"2023, 2022, 2021, 2019, 2018, 2015, 2014, 2013","1, 2, 2, 1, 1, 1, 1, 1",Yes,2023: 1.40% | 2022: 3.26% | 2021: 3.49% | 2019: 0.23% | 2018: 0.47% | 2015: 0.47% | 2014: 0.47% | 2013: 0.93%,2023: Rs.3.00 | 2022: Rs.7.00 | 2021: Rs.7.50 | 2019: Rs.0.50 | 2018: Rs.1.00 | 2015: Rs.1.00 | 2014: Rs.1.00 | 2013: Rs.2.00,100.0%,High consistency (100.0%): 8 years with dividends
TELE,7.64,"2022, 2021, 2010, 2005, 2004","1, 1, 1, 1, 1",Yes,2022: 9.82% | 2021: 6.54% | 2010: 1.31% | 2005: 0.00% | 2004: 261.78%,2022: Rs.0.75 | 2021: Rs.0.50 | 2010: Rs.0.10 | 2005: Rs.0.00 | 2004: Rs.20.00,100.0%,"High consistency (100.0%): 5 years with dividends, Pattern: 1 dividends per year"
TGL,238.5,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017","1, 1, 1, 1, 1, 1, 2, 1, 1",Yes,2025: 0.84% | 2024: 0.84% | 2023: 2.52% | 2022: 0.84% | 2021: 5.03% | 2020: 1.05% | 2019: 3.77% | 2018: 2.52% | 2017: 1.74%,2025: Rs.2.00 | 2024: Rs.2.00 | 2023: Rs.6.00 | 2022: Rs.2.00 | 2021: Rs.12.00 | 2020: Rs.2.50 | 2019: Rs.9.00 | 2018: Rs.6.00 | 2017: Rs.4.15,100.0%,Perfect consistency: 8 consecutive years
THALL,443.75,"2024, 2023, 2022, 2021, 2020","2, 2, 2, 2, 2",Yes,2024: 4.51% | 2023: 3.83% | 2022: 1.80% | 2021: 4.96% | 2020: 3.38%,2024: Rs.20.00 | 2023: Rs.17.00 | 2022: Rs.8.00 | 2021: Rs.22.00 | 2020: Rs.15.00,100.0%,"Perfect consistency: 5 consecutive years, Pattern: 2 dividends per year"
THCCL,45.58,"2024, 2021, 2018, 2017, 2016, 2015, 2014","3, 1, 1, 1, 1, 2, 1",Yes,2024: 4.39% | 2021: 0.55% | 2018: 3.16% | 2017: 5.16% | 2016: 3.29% | 2015: 5.70% | 2014: 2.41%,2024: Rs.2.00 | 2021: Rs.0.25 | 2018: Rs.1.44 | 2017: Rs.2.35 | 2016: Rs.1.50 | 2015: Rs.2.60 | 2014: Rs.1.10,100.0%,High consistency (100.0%): 7 years with dividends
TICL,582.58,"2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 2",Yes,2023: 0.86% | 2022: 0.60% | 2021: 0.51% | 2020: 0.51% | 2019: 0.26% | 2018: 1.52% | 2017: 1.72% | 2016: 0.86% | 2015: 1.02%,2023: Rs.5.00 | 2022: Rs.3.50 | 2021: Rs.3.00 | 2020: Rs.3.00 | 2019: Rs.1.50 | 2018: Rs.8.86 | 2017: Rs.10.00 | 2016: Rs.5.00 | 2015: Rs.5.92,100.0%,Perfect consistency: 9 consecutive years
TOMCL,34.89,"2024, 2023, 2022, 2021, 2020","1, 2, 1, 1, 1",Yes,2024: 5.79% | 2023: 5.73% | 2022: 2.79% | 2021: 2.87% | 2020: 5.73%,2024: Rs.2.02 | 2023: Rs.2.00 | 2022: Rs.0.97 | 2021: Rs.1.00 | 2020: Rs.2.00,100.0%,Perfect consistency: 5 consecutive years
TOWL,158.95,"2024, 2023, 2022, 2021, 2009, 2004","1, 2, 1, 1, 1, 1",Yes,2024: 5.03% | 2023: 8.18% | 2022: 6.29% | 2021: 1.26% | 2009: 0.31% | 2004: 0.00%,2024: Rs.8.00 | 2023: Rs.13.00 | 2022: Rs.10.00 | 2021: Rs.2.00 | 2009: Rs.0.50 | 2004: Rs.0.00,100.0%,High consistency (100.0%): 6 years with dividends
TPL,5.57,"2018, 2017, 2016","1, 1, 1",Yes,2018: 0.00% | 2017: 4.49% | 2016: 4.49%,2018: Rs.0.00 | 2017: Rs.0.25 | 2016: Rs.0.25,100.0%,"Perfect consistency: 3 consecutive years, Pattern: 1 dividends per year"
